DATE,USAGDPDEFQISMEI
1960-01-01,15.8333788207142
1960-04-01,15.8732459188442
1960-07-01,15.9280311861834
1960-10-01,15.9752138375902
1961-01-01,16.0097147574427
1961-04-01,16.0465548968028
1961-07-01,16.0877770012907
1961-10-01,16.1382389039342
1962-01-01,16.2213979389721
1962-04-01,16.2480575261768
1962-07-01,16.2824244052976
1962-10-01,16.3157377795502
1963-01-01,16.3871284076418
1963-04-01,16.4159084812482
1963-07-01,16.4375219154875
1963-10-01,16.5710417229626
1964-01-01,16.6230874327154
1964-04-01,16.6613758640001
1964-07-01,16.7279479321104
1964-10-01,16.803864852685
1965-01-01,16.8885089532055
1965-04-01,16.965959595209
1965-07-01,17.0318276875742
1965-10-01,17.1488989165438
1966-01-01,17.259260862509
1966-04-01,17.4003832386922
1966-07-01,17.5684195460316
1966-10-01,17.7159618593688
1967-01-01,17.7894738334423
1967-04-01,17.8799445624635
1967-07-01,18.0513864429595
1967-10-01,18.2518699843365
1968-01-01,18.454214041211
1968-04-01,18.6490765894903
1968-07-01,18.8320863399503
1968-10-01,19.0977374833563
1969-01-01,19.2950177531217
1969-04-01,19.5402475046095
1969-07-01,19.8148058786759
1969-10-01,20.0702681364026
1970-01-01,20.3528398274656
1970-04-01,20.6367249866707
1970-07-01,20.8062181540373
1970-10-01,21.080963505184
1971-01-01,21.4011160187875
1971-04-01,21.6818742783486
1971-07-01,21.9029743559045
1971-10-01,22.085651078039
1972-01-01,22.4213122421836
1972-04-01,22.5607729742686
1972-07-01,22.7767487921012
1972-10-01,23.0671128982809
1973-01-01,23.3330199914105
1973-04-01,23.6916220972924
1973-07-01,24.1529495444604
1973-10-01,24.6342010128282
1974-01-01,25.0989567159345
1974-04-01,25.6917380867542
1974-07-01,26.4449153081798
1974-10-01,27.2227593216364
1975-01-01,27.8413916539705
1975-04-01,28.2551499671507
1975-07-01,28.7545040386883
1975-10-01,29.2355284669245
1976-01-01,29.5444717662103
1976-04-01,29.8423287262061
1976-07-01,30.2278663792675
1976-10-01,30.7693618137056
1977-01-01,31.2649369508068
1977-04-01,31.705995380382
1977-07-01,32.0918015964887
1977-10-01,32.7848428402104
1978-01-01,33.2617338863606
1978-04-01,33.8978226852682
1978-07-01,34.4732014404866
1978-10-01,35.179112951511
1979-01-01,35.8200296505219
1979-04-01,36.6971556369148
1979-07-01,37.4993955981812
1979-10-01,38.1955709915258
1980-01-01,38.9978250522084
1980-04-01,39.9254584074127
1980-07-01,40.8179224780407
1980-10-01,41.8812803091496
1981-01-01,42.9839983835983
1981-04-01,43.8361620252888
1981-07-01,44.660792928616
1981-10-01,45.4326062402591
1982-01-01,46.0579011640668
1982-04-01,46.6562707186602
1982-07-01,47.3181550856773
1982-10-01,47.8084467960811
1983-01-01,48.1691692461364
1983-04-01,48.527053864736
1983-07-01,49.0426798019726
1983-10-01,49.414622134036
1984-01-01,49.9149169702644
1984-04-01,50.3421015395526
1984-07-01,50.7897034933362
1984-10-01,51.1692891122696
1985-01-01,51.6751965531979
1985-04-01,52.0078894246189
1985-07-01,52.3215455408879
1985-10-01,52.6141429628553
1986-01-01,52.8758801460095
1986-04-01,53.0760614062026
1986-07-01,53.293839569605
1986-10-01,53.5838844519923
1987-01-01,53.9244318390299
1987-04-01,54.2978926206298
1987-07-01,54.7089039896838
1987-10-01,55.1446066106589
1988-01-01,55.5773771077498
1988-04-01,56.1180816129784
1988-07-01,56.7887438255257
1988-10-01,57.2797014349048
1989-01-01,57.8767407863784
1989-04-01,58.493143330078
1989-07-01,58.9206172801095
1989-10-01,59.340323744576
1990-01-01,59.9802830298259
1990-04-01,60.6520778103842
1990-07-01,61.1719860886099
1990-10-01,61.6274374918899
1991-01-01,62.2310429882941
1991-04-01,62.6876446269849
1991-07-01,63.177475318222
1991-10-01,63.5525837380485
1992-01-01,63.7888907739471
1992-04-01,64.1723172110484
1992-07-01,64.4858696746497
1992-10-01,64.9296427063503
1993-01-01,65.2932214391442
1993-04-01,65.6818398376495
1993-07-01,66.0721894947481
1993-10-01,66.4324542738909
1994-01-01,66.7501386748966
1994-04-01,67.0727671405255
1994-07-01,67.4572500598613
1994-10-01,67.8232700001645
1995-01-01,68.1908893317816
1995-04-01,68.5186686093421
1995-07-01,68.8559809055868
1995-10-01,69.187927652189
1996-01-01,69.5207509475079
1996-04-01,69.8087336475687
1996-07-01,70.0371039405069
1996-10-01,70.4115736750716
1997-01-01,70.831360705685
1997-04-01,70.9745169921003
1997-07-01,71.2825981104812
1997-10-01,71.516634788257
1998-01-01,71.6213187129021
1998-04-01,71.7904561024143
1998-07-01,72.0991049243156
1998-10-01,72.2975304643486
1999-01-01,72.5696144920952
1999-04-01,72.8330934094782
1999-07-01,73.0819586961714
1999-10-01,73.4751170188477
2000-01-01,73.9755443263734
2000-04-01,74.423297978396
2000-07-01,74.8472924746011
2000-10-01,75.2431406833471
2001-01-01,75.703044097973
2001-04-01,76.1609891717399
2001-07-01,76.4673769804295
2001-10-01,76.7202642404805
2002-01-01,76.9730529863203
2002-04-01,77.248931366283
2002-07-01,77.604872344033
2002-10-01,78.0446973746682
2003-01-01,78.3995805141107
2003-04-01,78.630064321796
2003-07-01,79.0560864323398
2003-10-01,79.5232332904624
2004-01-01,80.1151888433821
2004-04-01,80.7687111347588
2004-07-01,81.2965548841988
2004-10-01,81.9235914283222
2005-01-01,82.5725418066944
2005-04-01,83.1508197053852
2005-07-01,83.9027122504594
2005-10-01,84.5780173504509
2006-01-01,85.168130202576
2006-04-01,85.8806727985101
2006-07-01,86.4818613128436
